Date,Tem_mean,Tem_max,Tem_min,Wspeed_mean,Wspeed_max,Wspeed_min,Humid_mean,Sunshine_mean,Solar_mean,Cloud_max,Cloud_min,Season
2000-01-01,13.4 ,16.7 ,10.2 ,3.7 ,4.8 ,2.9 ,62.8 ,6.7 ,,8 ,0 ,Winter
2000-01-02,13.0 ,17.6 ,8.7 ,2.4 ,6.0 ,0.0 ,66.2 ,6.0 ,,7 ,0 ,Winter
2000-01-03,10.1 ,13.2 ,7.3 ,2.0 ,3.4 ,0.6 ,65.3 ,5.9 ,,7 ,0 ,Winter
2000-01-04,11.4 ,14.3 ,7.5 ,2.1 ,2.8 ,1.3 ,67.0 ,3.2 ,,8 ,0 ,Winter
2000-01-05,15.0 ,16.9 ,12.7 ,2.3 ,4.9 ,1.0 ,78.3 ,0.1 ,,10 ,4 ,Winter
2000-01-06,13.9 ,16.3 ,11.3 ,2.8 ,5.1 ,0.7 ,79.7 ,0.8 ,,10 ,5 ,Winter
2000-01-07,5.2 ,10.9 ,2.8 ,3.9 ,8.0 ,1.1 ,51.1 ,9.0 ,,5 ,0 ,Winter
2000-01-08,6.8 ,9.5 ,4.1 ,1.5 ,3.2 ,0.0 ,63.7 ,0.0 ,,10 ,3 ,Winter
2000-01-09,8.7 ,10.0 ,7.3 ,3.7 ,5.1 ,0.9 ,82.8 ,0.0 ,,10 ,10 ,Winter
2000-01-10,11.0 ,13.7 ,9.2 ,2.0 ,4.6 ,0.6 ,71.3 ,6.6 ,,10 ,3 ,Winter
2000-01-11,10.2 ,13.3 ,7.1 ,3.5 ,6.1 ,0.4 ,66.3 ,3.0 ,,10 ,2 ,Winter
2000-01-12,11.7 ,12.6 ,10.3 ,4.3 ,5.5 ,3.3 ,88.1 ,0.0 ,,10 ,10 ,Winter
2000-01-13,10.8 ,13.3 ,5.9 ,2.1 ,4.0 ,0.6 ,75.8 ,4.4 ,,10 ,0 ,Winter
2000-01-14,7.7 ,11.2 ,5.7 ,1.6 ,3.0 ,0.1 ,66.7 ,3.9 ,,10 ,0 ,Winter
2000-01-15,8.0 ,9.9 ,6.0 ,1.9 ,3.2 ,0.2 ,66.2 ,0.2 ,,10 ,8 ,Winter
2000-01-16,9.9 ,10.9 ,9.2 ,1.2 ,2.2 ,0.6 ,81.2 ,0.0 ,,10 ,10 ,Winter
2000-01-17,9.0 ,12.3 ,7.1 ,1.9 ,3.7 ,0.7 ,72.2 ,4.3 ,,9 ,4 ,Winter
2000-01-18,7.5 ,10.8 ,4.6 ,2.0 ,3.4 ,0.4 ,68.5 ,7.7 ,,8 ,0 ,Winter
2000-01-19,3.8 ,6.0 ,0.3 ,3.3 ,5.2 ,1.1 ,56.7 ,5.7 ,,10 ,2 ,Winter
2000-01-20,1.9 ,3.6 ,0.7 ,3.9 ,6.9 ,1.8 ,52.9 ,7.9 ,,8 ,3 ,Winter
2000-01-21,3.3 ,6.5 ,0.1 ,1.6 ,3.8 ,0.3 ,59.6 ,5.8 ,,8 ,3 ,Winter
2000-01-22,8.4 ,11.7 ,2.9 ,2.3 ,4.9 ,0.8 ,74.0 ,0.0 ,,10 ,6 ,Winter
